(maxduration 1000)

(initial_agentposition (pos-r 2) (pos-c 2) (direction north))
(Table (table-id T1) (pos-r 17) (pos-c 4))
(Table (table-id T2) (pos-r 13) (pos-c 4))
(Table (table-id T3) (pos-r 9) (pos-c 6))
(Table (table-id T4) (pos-r 5) (pos-c 6))
(Table (table-id T5) (pos-r 17) (pos-c 9))
(Table (table-id T6) (pos-r 13) (pos-c 9))
(Table (table-id T7) (pos-r 5) (pos-c 11))
(Table (table-id T8) (pos-r 17) (pos-c 16))
(Table (table-id T9) (pos-r 13) (pos-c 16))
(Table (table-id T10) (pos-r 9) (pos-c 16))
(Table (table-id T11) (pos-r 5) (pos-c 16))
(TrashBasket (TB-id TB1) (pos-r 8) (pos-c 2))
(RecyclableBasket (RB-id RB1) (pos-r 10) (pos-c 2))
(FoodDispenser  (FD-id FD1) (pos-r 5) (pos-c 2))
(DrinkDispenser  (DD-id DD1) (pos-r 7) (pos-c 2))

(prior-cell (pos-r 20) (pos-c 1) (contains Wall))
(prior-cell (pos-r 19) (pos-c 1) (contains Wall))
(prior-cell (pos-r 18) (pos-c 1) (contains Wall))
(prior-cell (pos-r 17) (pos-c 1) (contains Wall))
(prior-cell (pos-r 16) (pos-c 1) (contains Wall))
(prior-cell (pos-r 15) (pos-c 1) (contains Wall))
(prior-cell (pos-r 14) (pos-c 1) (contains Wall))
(prior-cell (pos-r 13) (pos-c 1) (contains Wall))
(prior-cell (pos-r 12) (pos-c 1) (contains Wall))
(prior-cell (pos-r 11) (pos-c 1) (contains Wall))
(prior-cell (pos-r 10) (pos-c 1) (contains Wall))
(prior-cell (pos-r 9) (pos-c 1) (contains Wall))
(prior-cell (pos-r 8) (pos-c 1) (contains Wall))
(prior-cell (pos-r 7) (pos-c 1) (contains Wall))
(prior-cell (pos-r 6) (pos-c 1) (contains Wall))
(prior-cell (pos-r 5) (pos-c 1) (contains Wall))
(prior-cell (pos-r 4) (pos-c 1) (contains Wall))
(prior-cell (pos-r 3) (pos-c 1) (contains Wall))
(prior-cell (pos-r 2) (pos-c 1) (contains Wall))
(prior-cell (pos-r 1) (pos-c 1) (contains Wall))
(prior-cell (pos-r 20) (pos-c 2) (contains Wall))
(prior-cell (pos-r 19) (pos-c 2) (contains Empty))
(prior-cell (pos-r 18) (pos-c 2) (contains Empty))
(prior-cell (pos-r 17) (pos-c 2) (contains Empty))
(prior-cell (pos-r 16) (pos-c 2) (contains Empty))
(prior-cell (pos-r 15) (pos-c 2) (contains Empty))
(prior-cell (pos-r 14) (pos-c 2) (contains Empty))
(prior-cell (pos-r 13) (pos-c 2) (contains Empty))
(prior-cell (pos-r 12) (pos-c 2) (contains Empty))
(prior-cell (pos-r 11) (pos-c 2) (contains Wall))
(prior-cell (pos-r 10) (pos-c 2) (contains RB))
(prior-cell (pos-r 9) (pos-c 2) (contains Empty))
(prior-cell (pos-r 8) (pos-c 2) (contains TB))
(prior-cell (pos-r 7) (pos-c 2) (contains DD))
(prior-cell (pos-r 6) (pos-c 2) (contains Empty))
(prior-cell (pos-r 5) (pos-c 2) (contains FD))
(prior-cell (pos-r 4) (pos-c 2) (contains Empty))
(prior-cell (pos-r 3) (pos-c 2) (contains Empty))
(prior-cell (pos-r 2) (pos-c 2) (contains Parking))
(prior-cell (pos-r 1) (pos-c 2) (contains Wall))
(prior-cell (pos-r 20) (pos-c 3) (contains Wall))
(prior-cell (pos-r 19) (pos-c 3) (contains Empty))
(prior-cell (pos-r 18) (pos-c 3) (contains Empty))
(prior-cell (pos-r 17) (pos-c 3) (contains Seat))
(prior-cell (pos-r 16) (pos-c 3) (contains Seat))
(prior-cell (pos-r 15) (pos-c 3) (contains Empty))
(prior-cell (pos-r 14) (pos-c 3) (contains Seat))
(prior-cell (pos-r 13) (pos-c 3) (contains Seat))
(prior-cell (pos-r 12) (pos-c 3) (contains Empty))
(prior-cell (pos-r 11) (pos-c 3) (contains Wall))
(prior-cell (pos-r 10) (pos-c 3) (contains Empty))
(prior-cell (pos-r 9) (pos-c 3) (contains Empty))
(prior-cell (pos-r 8) (pos-c 3) (contains Empty))
(prior-cell (pos-r 7) (pos-c 3) (contains Empty))
(prior-cell (pos-r 6) (pos-c 3) (contains Empty))
(prior-cell (pos-r 5) (pos-c 3) (contains Empty))
(prior-cell (pos-r 4) (pos-c 3) (contains Empty))
(prior-cell (pos-r 3) (pos-c 3) (contains Empty))
(prior-cell (pos-r 2) (pos-c 3) (contains Empty))
(prior-cell (pos-r 1) (pos-c 3) (contains Wall))
(prior-cell (pos-r 20) (pos-c 4) (contains Wall))
(prior-cell (pos-r 19) (pos-c 4) (contains Empty))
(prior-cell (pos-r 18) (pos-c 4) (contains Seat))
(prior-cell (pos-r 17) (pos-c 4) (contains Table))
(prior-cell (pos-r 16) (pos-c 4) (contains Empty))
(prior-cell (pos-r 15) (pos-c 4) (contains Empty))
(prior-cell (pos-r 14) (pos-c 4) (contains Empty))
(prior-cell (pos-r 13) (pos-c 4) (contains Table))
(prior-cell (pos-r 12) (pos-c 4) (contains Seat))
(prior-cell (pos-r 11) (pos-c 4) (contains Wall))
(prior-cell (pos-r 10) (pos-c 4) (contains Empty))
(prior-cell (pos-r 9) (pos-c 4) (contains Empty))
(prior-cell (pos-r 8) (pos-c 4) (contains Empty))
(prior-cell (pos-r 7) (pos-c 4) (contains Empty))
(prior-cell (pos-r 6) (pos-c 4) (contains Empty))
(prior-cell (pos-r 5) (pos-c 4) (contains Empty))
(prior-cell (pos-r 4) (pos-c 4) (contains Empty))
(prior-cell (pos-r 3) (pos-c 4) (contains Empty))
(prior-cell (pos-r 2) (pos-c 4) (contains Empty))
(prior-cell (pos-r 1) (pos-c 4) (contains Wall))
(prior-cell (pos-r 20) (pos-c 5) (contains Wall))
(prior-cell (pos-r 19) (pos-c 5) (contains Empty))
(prior-cell (pos-r 18) (pos-c 5) (contains Seat))
(prior-cell (pos-r 17) (pos-c 5) (contains Empty))
(prior-cell (pos-r 16) (pos-c 5) (contains Empty))
(prior-cell (pos-r 15) (pos-c 5) (contains Empty))
(prior-cell (pos-r 14) (pos-c 5) (contains Empty))
(prior-cell (pos-r 13) (pos-c 5) (contains Empty))
(prior-cell (pos-r 12) (pos-c 5) (contains Seat))
(prior-cell (pos-r 11) (pos-c 5) (contains Wall))
(prior-cell (pos-r 10) (pos-c 5) (contains Seat))
(prior-cell (pos-r 9) (pos-c 5) (contains Seat))
(prior-cell (pos-r 8) (pos-c 5) (contains Empty))
(prior-cell (pos-r 7) (pos-c 5) (contains Empty))
(prior-cell (pos-r 6) (pos-c 5) (contains Empty))
(prior-cell (pos-r 5) (pos-c 5) (contains Seat))
(prior-cell (pos-r 4) (pos-c 5) (contains Seat))
(prior-cell (pos-r 3) (pos-c 5) (contains Empty))
(prior-cell (pos-r 2) (pos-c 5) (contains Empty))
(prior-cell (pos-r 1) (pos-c 5) (contains Wall))
(prior-cell (pos-r 20) (pos-c 6) (contains Wall))
(prior-cell (pos-r 19) (pos-c 6) (contains Empty))
(prior-cell (pos-r 18) (pos-c 6) (contains Empty))
(prior-cell (pos-r 17) (pos-c 6) (contains Empty))
(prior-cell (pos-r 16) (pos-c 6) (contains Empty))
(prior-cell (pos-r 15) (pos-c 6) (contains Empty))
(prior-cell (pos-r 14) (pos-c 6) (contains Empty))
(prior-cell (pos-r 13) (pos-c 6) (contains Empty))
(prior-cell (pos-r 12) (pos-c 6) (contains Empty))
(prior-cell (pos-r 11) (pos-c 6) (contains Wall))
(prior-cell (pos-r 10) (pos-c 6) (contains Seat))
(prior-cell (pos-r 9) (pos-c 6) (contains Table))
(prior-cell (pos-r 8) (pos-c 6) (contains Empty))
(prior-cell (pos-r 7) (pos-c 6) (contains Empty))
(prior-cell (pos-r 6) (pos-c 6) (contains Empty))
(prior-cell (pos-r 5) (pos-c 6) (contains Table))
(prior-cell (pos-r 4) (pos-c 6) (contains Seat))
(prior-cell (pos-r 3) (pos-c 6) (contains Empty))
(prior-cell (pos-r 2) (pos-c 6) (contains Empty))
(prior-cell (pos-r 1) (pos-c 6) (contains Wall))
(prior-cell (pos-r 20) (pos-c 7) (contains Wall))
